student_id,student_name,exam_id,exam_name,department,hall_name,seat_number,exam_date,exam_time,qr_code_id
STU001,Student 1,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CSE,HALL-A,A-1-1,2025-01-25,09:30,QR-STU001
STU002,Student 2,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,ECE,HALL-A,A-1-2,2025-01-25,09:30,QR-STU002
STU003,Student 3,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,MECH,HALL-A,A-1-3,2025-01-25,09:30,QR-STU003
STU004,Student 4,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CIVIL,HALL-A,A-1-4,2025-01-25,09:30,QR-STU004
STU005,Student 5,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,EEE,HALL-A,A-1-5,2025-01-25,09:30,QR-STU005
STU0051,Jessica Hernandez,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,IT,HALL-A,A-2-1,2025-01-25,09:30,QR-STU0051
STU0052,Ashley Scott,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CSE,HALL-A,A-2-2,2025-01-25,09:30,QR-STU0052
STU0053,Andrew Moore,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,ECE,HALL-A,A-2-3,2025-01-25,09:30,QR-STU0053
STU0054,Sarah Thompson,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,MECH,HALL-A,A-2-4,2025-01-25,09:30,QR-STU0054
STU0055,Emily Carter,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CIVIL,HALL-A,A-2-5,2025-01-25,09:30,QR-STU0055
STU0056,William Jones,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,EEE,HALL-A,A-3-1,2025-01-25,09:30,QR-STU0056
STU0057,Robert White,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,IT,HALL-A,A-3-2,2025-01-25,09:30,QR-STU0057
STU0058,Andrew Brown,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CSE,HALL-A,A-3-3,2025-01-25,09:30,QR-STU0058
STU0059,Christopher Thompson,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,ECE,HALL-A,A-3-4,2025-01-25,09:30,QR-STU0059
STU006,Student 6,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,MECH,HALL-A,A-3-5,2025-01-25,09:30,QR-STU006
STU0060,Matthew Harris,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CIVIL,HALL-A,A-4-1,2025-01-25,09:30,QR-STU0060
STU0061,Mark Nguyen,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,EEE,HALL-A,A-4-2,2025-01-25,09:30,QR-STU0061
STU0062,Christopher Ramirez,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,IT,HALL-A,A-4-3,2025-01-25,09:30,QR-STU0062
STU0063,Mary Campbell,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CSE,HALL-A,A-4-4,2025-01-25,09:30,QR-STU0063
STU0064,Ashley Carter,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,ECE,HALL-A,A-4-5,2025-01-25,09:30,QR-STU0064
STU0065,Timothy Adams,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,MECH,HALL-A,A-5-1,2025-01-25,09:30,QR-STU0065
STU0066,Margaret Wilson,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CIVIL,HALL-A,A-5-2,2025-01-25,09:30,QR-STU0066
STU0067,Daniel Young,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,EEE,HALL-A,A-5-3,2025-01-25,09:30,QR-STU0067
STU0068,Steven White,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,IT,HALL-A,A-5-4,2025-01-25,09:30,QR-STU0068
STU0069,Michael Jackson,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CSE,HALL-A,A-5-5,2025-01-25,09:30,QR-STU0069
STU007,Student 7,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,ECE,HALL-A,A-6-1,2025-01-25,09:30,QR-STU007
STU0070,Carol Mitchell,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,MECH,HALL-A,A-6-2,2025-01-25,09:30,QR-STU0070
STU0071,Amanda Thomas,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CIVIL,HALL-A,A-6-3,2025-01-25,09:30,QR-STU0071
STU0072,Michelle Perez,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,EEE,HALL-A,A-6-4,2025-01-25,09:30,QR-STU0072
STU0073,Daniel Mitchell,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,IT,HALL-A,A-6-5,2025-01-25,09:30,QR-STU0073
STU0074,Emily Robinson,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CSE,HALL-A,A-7-1,2025-01-25,09:30,QR-STU0074
STU0075,Elizabeth Gonzalez,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,ECE,HALL-A,A-7-2,2025-01-25,09:30,QR-STU0075
STU0076,Jason Hill,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,MECH,HALL-A,A-7-3,2025-01-25,09:30,QR-STU0076
STU0077,Betty Mitchell,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CIVIL,HALL-A,A-7-4,2025-01-25,09:30,QR-STU0077
STU0078,James Davis,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,EEE,HALL-A,A-7-5,2025-01-25,09:30,QR-STU0078
STU0079,John Anderson,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,IT,HALL-A,A-8-1,2025-01-25,09:30,QR-STU0079
STU008,Student 8,85f0d55a-c961-4fdd-8351-cef10fdfd5d6,CSE23 MID1 Exam,CSE,HALL-A,A-8-2,2025-01-25,09:30,QR-STU008
